Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN,VOLUME
2018-08-08,285.46,285.91,284.94,285.39,42114551
2018-08-09,285.07,285.97,284.915,285.53,35716976
2018-08-10,283.16,284.055,282.36,283.45,77076044
2018-08-13,282.1,284.16,281.77,283.47,65732909
2018-08-14,283.9,284.17,282.4833,282.92,43842031
2018-08-15,281.78,282.54,280.16,282.38,102925355
2018-08-16,284.06,285.04,283.36,283.4,69967919
2018-08-17,285.06,285.5601,283.37,283.83,65618481
2018-08-20,285.67,285.97,285.06,285.57,39807490
2018-08-21,286.34,287.31,285.7135,286.25,67271983
2018-08-22,286.17,286.76,285.575,285.88,44993333
2018-08-23,285.79,286.94,285.43,285.97,49204851
2018-08-24,287.51,287.67,286.38,286.44,57487399
2018-08-27,289.78,289.9,288.68,288.86,57072377
2018-08-28,289.92,290.4175,289.4,290.3,46943472
2018-08-29,291.48,291.74,289.8854,290.16,61485514
2018-08-30,290.3,291.36,289.63,290.94,61229501
2018-08-31,290.31,290.81,289.29,289.84,66140838
2018-09-03,290.31,290.81,289.29,289.84,66140838
2018-09-04,289.81,290.21,288.68,289.84,57594367
2018-09-05,289.03,289.64,287.89,289.41,72452437
2018-09-06,288.16,289.49,287,289.15,65909863
2018-09-07,287.6,288.7,286.71,286.98,73524824
2018-09-10,288.1,289.04,287.88,288.74,50210903
2018-09-11,289.05,289.55,286.975,287.37,50530492
2018-09-12,289.12,289.8,288.23,289.06,59810758
2018-09-13,290.83,291.0384,289.995,290.32,51034222
2018-09-14,290.88,291.27,290,291.06,55079875
2018-09-17,289.34,290.86,289.03,290.82,68244043
2018-09-18,290.91,291.58,289.55,289.58,61930407
2018-09-19,291.22,291.69,290.825,290.97,49080562
2018-09-20,293.58,293.94,291.2363,292.64,100360646
2018-09-21,291.99,293.22,291.81,293.09,105479656
2018-09-24,291.02,291.5,290.37,291.34,53409645
2018-09-25,290.75,291.65,290.4833,291.53,44370037
2018-09-26,289.88,292.24,289.41,290.91,79739674
2018-09-27,290.69,291.91,290.1,290.41,59249455
2018-09-28,290.72,291.28,289.95,289.99,70091385
2018-10-01,291.73,292.93,290.98,292.11,62078937
2018-10-02,291.56,292.355,291.14,291.56,47258227
2018-10-03,291.72,293.21,291.32,292.74,64694594
2018-10-04,289.44,291.24,287.66,291.18,111545910
2018-10-05,287.82,290.27,286.22,289.69,105951698
2018-10-08,287.82,288.22,285.5,287.05,87742172
2018-10-09,287.4,288.86,286.77,287.39,74338982
2018-10-10,278.3,286.91,277.88,286.83,214731042
2018-10-11,272.17,278.9,270.36,277.08,274840491
2018-10-12,275.95,277.09,272.37,276.77,183186492
2018-10-15,274.4,277.04,274.3,275.55,102263717
2018-10-16,280.4,280.82,276.07,276.6,118255834
2018-10-17,280.45,281.15,277.56,280.44,110625987
2018-10-18,276.4,280.07,274.97,279.4,134557525
2018-10-19,276.25,279.3,275.47,277.13,139901634
