Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN
2019-05-31,482.875,483.219,471.278,471.278
2019-06-03,495.577,495.641,484.683,485.032
2019-06-04,478.951,489.105,478.951,489.105
2019-06-05,475.287,483.946,475.287,479.846
2019-06-06,470.947,477,469.5,476.171
2019-06-07,453.001,477.932,453.001,471.093
2019-06-10,443.143,450.971,443.143,449.29
2019-06-11,440.989,441.589,438.373,441.112
2019-06-12,447.974,448.033,444.501,444.501
2019-06-13,450.129,451.452,447.235,449.028
2019-06-14,452.029,454.04,448.413,453.863
2019-06-17,450.461,452.259,449.476,449.476
2019-06-18,444.877,455.609,444.229,455.609
2019-06-19,449.132,450.164,440.428,442.634
2019-06-20,435.596,450.213,435.176,450.213
2019-06-21,436.56,436.56,433.224,436.393
2019-06-24,439.762,439.763,436.895,437.531
2019-06-25,446.688,446.688,440.875,440.875
2019-06-26,440.217,442.071,439.324,441.21
2019-06-27,442.541,442.695,439.673,441.107
2019-06-28,440.25,441.491,439.497,440.457
2019-07-01,432.802,437.305,432.008,437.305
2019-07-02,437.156,437.205,433.333,433.528
2019-07-03,436.406,438.95,436.253,438.452
2019-07-04,436.406,438.95,436.253,438.452
2019-07-05,428.773,434.483,426.622,434.435
2019-07-08,430.153,431.85,429.479,429.479
2019-07-09,431.52,432.83,429.811,429.811
2019-07-10,432.098,435.16,429.526,429.526
2019-07-11,427.897,431.914,426.709,431.629
2019-07-12,430.309,431.991,428.01,428.226
2019-07-15,432.365,432.801,431.286,431.348
2019-07-16,431.728,431.728,428.118,430.98
2019-07-17,439.162,439.3,431.192,431.474
2019-07-18,447.938,448.261,437.185,438.178
2019-07-19,443.284,444.815,442.123,443.431
2019-07-22,442.673,445.081,442.673,443.379
2019-07-23,437.28,441.591,437.28,441.056
2019-07-24,436.819,439.554,436.26,439.265
2019-07-25,432.447,438.053,431.991,438.053
2019-07-26,429.895,432.839,429.57,432.561
2019-07-29,431.199,432.692,430.06,430.122
2019-07-30,434.606,435.212,433.085,433.085
2019-07-31,434.388,435.366,433.939,435.366
2019-08-01,449.444,450.328,448.104,448.104
2019-08-02,456.007,457.283,450.525,452.771
2019-08-05,495.562,495.562,468.936,468.936
2019-08-06,491.175,491.175,486.38,489.414
2019-08-07,495.42,505.476,495.42,495.422
2019-08-08,486.979,496.304,485.878,496.304
2019-08-09,483.964,489.307,483.964,488.021
2019-08-12,493.2,493.787,486.826,487.335
2019-08-13,480.094,493.471,479.54,493.305
2019-08-14,504.223,504.223,489.744,489.744
2019-08-15,507.203,510.575,501.224,505.166
2019-08-16,504.728,506.179,501.913,505.99
2019-08-19,493.934,500.607,493.794,499.953
2019-08-20,495.642,498.048,495.642,495.943
2019-08-21,484.802,491.564,484.802,491.564
2019-08-22,476.022,482.767,476.022,482.456
2019-08-23,490.311,491.318,475.001,475.001
2019-08-26,484.322,489.226,483.633,489.196
2019-08-27,486.373,486.975,482.296,485.647
2019-08-28,485.975,488.565,485.975,488.565
2019-08-29,481.157,484.77,479.466,484.77
2019-08-30,482.104,482.476,477.96,478.906
2019-09-02,482.104,482.476,477.96,478.906
2019-09-03,491.439,493.124,482.91,484.49
2019-09-04,487.774,488.81,484.983,486.285
2019-09-05,475.314,483.791,473.82,483.791
2019-09-06,470.131,475.616,470.131,471.385
2019-09-09,460.417,498.162,460.349,467.76
2019-09-10,451.244,459.899,450.692,459.899
2019-09-11,453.087,454.13,451.342,453.601
2019-09-12,448.598,457.071,446.808,456.344
2019-09-13,441.481,446.48,440.703,446.125
2019-09-16,441.731,444.993,441.08,444.228
2019-09-17,442.521,442.82,438.633,441.857
2019-09-18,443.016,447.675,442.469,443.605
2019-09-19,444.367,445.857,442.542,445.241
2019-09-20,447.146,447.303,441.321,443.054
2019-09-23,447.106,452.09,447.106,449.204
2019-09-24,457.772,458.862,449.205,449.205
2019-09-25,453.794,459.274,453.794,458.535
2019-09-26,458.258,459.024,453.768,453.768
2019-09-27,461.465,462.179,456.18,456.412
2019-09-30,463.045,463.069,459.464,459.464
2019-10-01,471.003,471.343,457.47,459.123
2019-10-02,485.782,485.964,472.949,473.531
2019-10-03,497.675,499.006,488.248,488.565
2019-10-04,493.149,497.046,493.149,496.8
2019-10-07,477.708,479.41,405.462,407.154
2019-10-08,487.86,487.86,483.033,483.184
2019-10-09,479.722,484.016,479.224,483.851
2019-10-10,471.605,481.054,471.605,480.294
2019-10-11,459.29,465.884,456.804,465.668
2019-10-14,459.29,465.884,456.804,465.668
2019-10-15,451.558,460.596,451.558,460.549
2019-10-16,455.01,455.681,452.567,454.792
2019-10-17,451.165,454.627,451.165,452.867
2019-10-18,452.728,454.249,450.725,450.911
2019-10-21,449.103,451.681,449.097,450.82
2019-10-22,452.836,452.836,449.746,451.684
2019-10-23,451.493,455.099,451.344,454.371
2019-10-24,452.151,454.017,450.903,451.813
2019-10-25,447.238,452.476,445.958,451.673
2019-10-28,443.867,444.284,441.923,444.284
2019-10-29,442.886,444.838,442.691,444.268
2019-10-30,450.963,450.965,442.759,443.78
2019-10-31,463.937,464.404,453.856,453.856
2019-11-01,461.598,463.676,455.643,463.168
2019-11-04,452.414,458.694,452.371,457.717
2019-11-05,448.406,450.053,446.145,449.91
2019-11-06,453.613,454.625,450.098,450.098
2019-11-07,445.639,448.719,440.083,448.557
2019-11-08,446.371,448.957,442.881,443.292
2019-11-11,446.371,448.957,442.881,443.292
2019-11-12,448.198,449.767,446.624,446.637
2019-11-13,456.34,456.872,452.459,452.929
2019-11-14,461.763,463.365,458.981,459.379
2019-11-15,459.192,460.669,458.535,459.838
2019-11-18,462.959,464.218,458.745,458.76
2019-11-19,470.425,470.608,462.782,462.782
2019-11-20,477.454,478.411,473.917,474.343
2019-11-21,476.629,476.95,474.876,476.052
2019-11-22,474.25,478.561,474.25,478.271
2019-11-25,471.394,473.472,470.84,472.253
2019-11-26,469.941,472.775,469.882,472.646
2019-11-27,465.013,469.797,464.808,469.783
2019-11-28,465.013,469.797,464.808,469.783
2019-11-29,464.843,465.19,463.079,464.896
2019-12-02,465.851,465.987,461.255,461.449
2019-12-03,476.849,479.437,468.13,468.13
2019-12-04,464.336,474.415,463.765,473.711
2019-12-05,458.224,464.289,458.224,462.747
2019-12-06,444.868,458.942,444.868,458.942
2019-12-09,443.14,446.279,442.86,446.279
2019-12-10,436.571,443.583,436.3,443.583
