Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN,VOLUME
2017-11-06,10.725,11.36,10.7,11.05,74209
2017-11-07,10.875,11.2,10.7,10.75,139831
2017-11-08,10.875,11.22,10.74,10.9,105586
2017-11-09,11.125,12.1,10.82,10.85,214844
2017-11-10,11.6,11.85,11.1,11.1,123299
2017-11-13,11.625,11.95,11.4,11.55,100058
2017-11-14,12.05,12.22,11.6,11.64,125583
2017-11-15,13.05,13.35,11.98,12.05,9477
2017-11-16,12.675,13.28,12.54,13.15,140077
2017-11-17,12.625,12.85,12.4,12.7,120026
2017-11-20,12.075,12.9,12.05,12.6,112332
2017-11-21,11.625,12.17,11.5,12.1,126098
2017-11-22,11.475,11.69,11.4,11.65,102304
2017-11-23,11.475,11.69,11.4,11.65,102304
2017-11-24,11.425,11.7,11.35,11.5,38046
2017-11-27,11.325,11.6,11.3,11.4,72645
2017-11-28,11.275,11.5,11.15,11.35,109488
2017-11-29,11.475,11.75,11.25,11.3,140366
2017-11-30,11.675,11.75,11.25,11.45,155770
2017-12-01,11.875,13.47,11.58,11.68,318976
2017-12-04,11.925,11.95,11.15,11.5,202798
2017-12-05,11.875,12.05,11.4,11.95,144616
2017-12-06,11.725,12.25,11.7,11.85,107655
2017-12-07,11.175,11.85,11.15,11.75,102185
2017-12-08,10.875,11.3,10.75,11.2,108153
2017-12-11,10.325,11.02,10.25,10.8,96602
2017-12-12,10.375,10.5,10.3,10.35,102656
2017-12-13,10.525,10.8,10.3,10.4,112764
2017-12-14,10.375,10.75,10.35,10.53,126102
2017-12-15,9.925,10.55,9.8,10.4,120661
2017-12-18,9.875,10,9.6,9.9,119263
2017-12-19,10.075,10.15,9.7,9.9,101557
2017-12-20,9.6,10.1,9.6,10.05,6003
2017-12-21,11.225,11.5,11.2,11.43,87218
2017-12-22,11.425,11.45,11.15,11.25,73439
2017-12-25,11.425,11.45,11.15,11.25,73439
2017-12-26,11.325,11.5,11.2,11.4,50571
2017-12-27,11.325,11.45,11.15,11.35,66407
2017-12-28,11.225,11.4,11.15,11.35,45693
2017-12-29,11.475,11.6,11.1,11.24,66171
2018-01-01,11.475,11.6,11.1,11.24,66171
2018-01-02,10.875,11.6,10.85,11.45,91441
2018-01-03,10.675,10.9,10.6,10.9,101080
2018-01-04,10.575,10.8,10.5,10.69,88483
2018-01-05,10.475,10.7,10.4,10.58,66099
2018-01-08,10.475,10.65,10.4,10.55,61384
2018-01-09,10.675,10.7,10.35,10.49,111208
2018-01-10,10.575,11.05,10.5,10.7,114360
2018-01-11,10.475,10.65,10.45,10.58,68101
2018-01-12,10.575,10.85,10.4,10.5,126749
2018-01-15,10.575,10.85,10.4,10.5,126749
2018-01-16,11.775,12.25,10.35,10.6,145765
2018-01-17,11.95,11.95,11.4,11.8,8948
2018-01-18,12.075,12.45,11.8,12.1,196899
2018-01-19,11.925,12.25,11.85,12.1,153705
2018-01-22,11.825,12.2,11.55,12.05,105776
2018-01-23,11.975,12.05,11.7,11.75,119339
2018-01-24,12.225,12.6,11.85,12,205692
2018-01-25,12.425,12.7,12.05,12.25,136010
2018-01-26,12.325,12.55,12.2,12.45,101332
2018-01-29,13.525,13.6,12.3,12.35,211893
2018-01-30,13.975,14.66,13.5,13.55,319871
2018-01-31,13.475,14.09,13.33,13.95,178255
2018-02-01,13.275,13.95,12.5,13.5,189870
2018-02-02,15.625,15.85,12.85,13.25,351866
2018-02-05,33.225,33.35,15.2,16.15,506362
2018-02-06,23.875,33.25,20,31.75,473819
2018-02-07,23.425,24.47,19.5,23.9,198893
2018-02-08,28.1,29.9,22.25,23.1,206406
2018-02-09,27.175,32.9,26.15,27.95,176629
2018-02-12,25.825,28.37,24.75,26.5,98205
2018-02-13,25.225,27.6,24.8,25.45,67499
2018-02-14,21.87,26.5,23.8,25.25,6217
2018-02-15,17.525,18.15,17.1,17.9,87196
2018-02-16,17.775,18.02,16.9,17.5,85110
2018-02-19,17.775,18.02,16.9,17.5,85110
2018-02-20,18.375,18.95,17.33,17.7,75900
2018-02-21,18.575,18.95,17.1,18.35,99140
2018-02-22,18.075,19.4,17.85,18.55,73138
2018-02-23,16.775,18.2,16.72,18.1,80610
2018-02-26,16.175,16.95,16.03,16.7,64411
2018-02-27,17.525,18.05,16.02,16.15,128896
2018-02-28,18.575,18.9,17.15,17.55,124748
2018-03-01,19.975,21.25,18.17,18.55,168019
2018-03-02,19.025,21.9,18.93,19.9,126790
2018-03-05,18.275,20.17,17.95,19,82687
2018-03-06,18.325,19.05,17.85,18.45,65450
2018-03-07,17.875,20,17.75,19.2,104338
2018-03-08,17.225,18.17,17,17.9,95437
2018-03-09,15.775,17.38,15.35,17.16,113140
2018-03-12,16.175,16.48,15.4,15.9,73706
2018-03-13,16.775,17.15,15.61,16.2,93057
2018-03-14,17.375,17.56,16.2,16.95,89354
2018-03-15,16.775,17.76,16.25,17.3,70169
2018-03-16,16.275,17.05,15.5,16.7,71576
2018-03-19,18.175,20.2,16.21,16.3,148754
2018-03-20,18.375,19.1,17.8,18.43,79904
2018-03-21,17.76,18.7,17.35,18.45,2589
2018-03-22,19.375,19.85,17.05,17.35,238884
2018-03-23,20.425,20.82,18.77,19.55,181145
2018-03-26,19.325,20.65,18.73,20.5,120849
2018-03-27,20.425,21,18.9,19.35,127337
2018-03-28,21.025,21.77,19.95,20.55,153254
2018-03-29,19.775,21.1,19.3,20.8,99120
2018-03-30,19.775,21.1,19.3,20.8,99120
2018-04-02,21.425,22.52,19.46,19.6,158031
2018-04-03,20.475,21.7,20.35,21.35,110925
2018-04-04,19.975,22.65,19.85,20.65,129401
2018-04-05,19.075,20.1,18.95,19.95,79163
2018-04-06,20.625,21.67,18.96,19.05,123068
2018-04-09,20.825,20.9,19.8,20.9,75938
2018-04-10,20.175,21.08,19.69,20.7,94691
2018-04-11,20.075,21.05,19.8,20.25,81710
2018-04-12,18.825,20.18,18.65,20,87617
2018-04-13,17.925,19.15,17.65,18.75,90343
2018-04-16,16.825,17.85,16.35,17.55,105407
