Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN
2020-04-29,0.6269,0.6395,0.5797,0.6095
2020-04-30,0.6393,0.6472,0.5794,0.6221
2020-05-01,0.6118,0.6465,0.5913,0.6266
2020-05-04,0.6336,0.6495,0.5926,0.5989
2020-05-05,0.6619,0.6762,0.6334,0.6334
2020-05-06,0.703,0.7413,0.6443,0.6553
2020-05-07,0.6409,0.7156,0.6187,0.6839
2020-05-08,0.6831,0.6847,0.6038,0.6393
2020-05-11,0.7099,0.7243,0.6701,0.691
2020-05-12,0.6651,0.7241,0.6588,0.7099
2020-05-13,0.6525,0.6703,0.6331,0.6654
2020-05-14,0.6218,0.6428,0.6024,0.6428
2020-05-15,0.6428,0.6476,0.5879,0.6234
2020-05-18,0.7257,0.7421,0.6331,0.6412
2020-05-19,0.6882,0.7437,0.6866,0.7241
2020-05-20,0.6801,0.7176,0.6671,0.685
2020-05-21,0.672,0.6801,0.6525,0.6769
2020-05-22,0.6591,0.672,0.6234,0.6704
2020-05-25,0.6591,0.6591,0.6591,0.6591
2020-05-26,0.6965,0.7063,0.6526,0.6542
2020-05-27,0.6819,0.7276,0.6574,0.6867
2020-05-28,0.69,0.7113,0.6688,0.6933
2020-05-29,0.6526,0.6851,0.6412,0.6819
2020-06-01,0.6591,0.6852,0.6364,0.638
2020-06-02,0.6852,0.6868,0.6461,0.6477
2020-06-03,0.7458,0.7689,0.6836,0.6901
2020-06-04,0.8234,0.8267,0.7343,0.7524
2020-06-05,0.8951,0.9555,0.7969,0.8168
2020-06-08,0.8752,0.9304,0.8602,0.8985
2020-06-09,0.8253,0.8702,0.8005,0.8702
2020-06-10,0.7263,0.832,0.723,0.8204
2020-06-11,0.669,0.728,0.6478,0.7165
2020-06-12,0.7034,0.7199,0.6625,0.669
2020-06-15,0.7215,0.7215,0.6511,0.7034
2020-06-16,0.7528,0.7826,0.7215,0.7561
2020-06-17,0.738,0.7611,0.7232,0.7611
2020-06-18,0.7084,0.7298,0.6904,0.7298
2020-06-19,0.6937,0.7415,0.6855,0.7068
2020-06-22,0.7085,0.7102,0.6724,0.6921
2020-06-23,0.7118,0.73,0.6773,0.7118
2020-06-24,0.679,0.7283,0.6741,0.7135
2020-06-25,0.6856,0.6872,0.6544,0.6708
2020-06-26,0.6413,0.6839,0.6299,0.679
2020-06-29,0.6234,0.6544,0.6201,0.6299
2020-06-30,0.6561,0.6627,0.6168,0.6283
2020-07-01,0.6758,0.7005,0.6561,0.6577
2020-07-02,0.6693,0.7105,0.6627,0.6774
2020-07-03,0.6693,0.6693,0.6693,0.6693
2020-07-06,0.6759,0.7105,0.6726,0.6726
2020-07-07,0.6397,0.689,0.6315,0.6742
2020-07-08,0.6644,0.6726,0.6397,0.6447
2020-07-09,0.6135,0.6644,0.5972,0.6611
2020-07-10,0.6447,0.6447,0.5678,0.6168
2020-07-13,0.6184,0.6628,0.6152,0.6266
2020-07-14,0.6233,0.6332,0.5988,0.6201
2020-07-15,0.6299,0.6562,0.6151,0.6348
2020-07-16,0.6168,0.6332,0.5988,0.625
2020-07-17,0.6266,0.6299,0.5971,0.6135
2020-07-20,0.6102,0.6283,0.6004,0.6266
2020-07-21,0.6004,0.625,0.5922,0.6119
2020-07-22,0.5971,0.6053,0.5807,0.6036
2020-07-23,0.5774,0.5987,0.5725,0.5922
2020-07-24,0.5888,0.5954,0.5545,0.5757
2020-07-27,0.6151,0.6168,0.5675,0.5888
2020-07-28,0.579,0.6349,0.5741,0.6151
2020-07-29,0.5741,0.5921,0.5626,0.579
2020-07-30,0.5462,0.5773,0.5348,0.5708
2020-07-31,0.5282,0.5625,0.5185,0.5429
2020-08-03,0.5543,0.5707,0.5314,0.5314
2020-08-04,0.5069,0.5609,0.5036,0.556
2020-08-05,0.5477,0.551,0.5053,0.5102
2020-08-06,0.5362,0.5526,0.5019,0.5445
2020-08-07,0.564,0.5673,0.5149,0.5313
2020-08-10,0.5755,0.5788,0.5443,0.5673
2020-08-11,0.6415,0.6598,0.5673,0.5706
2020-08-12,0.6747,0.6897,0.6233,0.6316
2020-08-13,0.7208,0.7257,0.6476,0.6752
2020-08-14,0.7094,0.7191,0.6882,0.7175
2020-08-17,0.6882,0.7126,0.6655,0.7094
2020-08-18,0.6687,0.6866,0.6558,0.6785
